X,Y,Z,Pa,Cp,,
0.25,0,0.01,101355.0654,0.1229669,,1
0.24820015,0,0.01,101352.325,0.1117587,,0.9928006
0.244972375,0,0.01,101347.1216,0.09047688,,0.9798895
0.2408796,0,0.01,101340.2211,0.06225408,,0.9635184
0.236136725,0,0.01,101331.6861,0.0273459,,0.9445469
0.23087495,0,0.01,101321.1864,-0.01559764,,0.9234998
0.225187375,0,0.01,101307.7556,-0.07052935,,0.9007495
0.21914575,0,0.01,101289.5221,-0.1451038,,0.876583
0.2128082,0,0.01,101263.9081,-0.2498647,,0.8512328
0.2062236,0,0.01,101232.9415,-0.3765173,,0.8248944
0.19943405,0,0.01,101225.2856,-0.4078299,,0.7977362
0.192476575,0,0.01,101224.1851,-0.4123308,,0.7699063
0.185384325,0,0.01,101223.0696,-0.4168933,,0.7415373
0.178187175,0,0.01,101221.8449,-0.4219024,,0.7127487
0.1709125,0,0.01,101220.4167,-0.4277436,,0.68365
0.163585475,0,0.01,101218.6752,-0.4348664,,0.6543419
0.15622955,0,0.01,101216.4846,-0.4438258,,0.6249182
0.148866525,0,0.01,101213.6836,-0.4552818,,0.5954661
0.141516925,0,0.01,101210.1036,-0.469924,,0.5660677
0.134200125,0,0.01,101205.6196,-0.4882634,,0.5368005
0.12693445,0,0.01,101200.2722,-0.5101343,,0.5077378
0.119737275,0,0.01,101194.0003,-0.5357862,,0.4789491
0.112625275,0,0.01,101186.8324,-0.5651025,,0.4505011
0.105614275,0,0.01,101178.9672,-0.597271,,0.4224571
0.09871955,0,0.01,101170.3915,-0.6323454,,0.3948782
0.091955725,0,0.01,101162.4682,-0.6647517,,0.3678229
0.0853369,0,0.01,101156.2375,-0.690235,,0.3413476
0.078876625,0,0.01,101151.6839,-0.7088595,,0.3155065
0.0725881,0,0.01,101148.7922,-0.7206862,,0.2903524
0.066484025,0,0.01,101147.4876,-0.7260222,,0.2659361
0.0605767,0,0.01,101147.7112,-0.7251076,,0.2423068
0.054878125,0,0.01,101149.4192,-0.718122,,0.2195125
0.04939995,0,0.01,101152.5822,-0.7051853,,0.1975998
0.04415345,0,0.01,101157.1838,-0.686365,,0.1766138
0.0391497,0,0.01,101163.2205,-0.661675,,0.1565988
0.034399425,0,0.01,101170.7055,-0.6310613,,0.1375977
0.029913125,0,0.01,101179.6753,-0.5943751,,0.1196525
0.025701075,0,0.01,101190.2006,-0.5513269,,0.1028043
0.021773273,0,0.01,101202.4036,-0.5014168,,0.08709309
0.01813954,0,0.01,101216.4837,-0.4438293,,0.07255816
0.01480948,0,0.01,101232.7562,-0.3772754,,0.05923792
0.011792503,0,0.01,101251.7106,-0.2997523,,0.04717001
0.00909783,0,0.01,101274.1075,-0.2081492,,0.03639132
0.00673452,0,0.01,101300.9591,-0.09832661,,0.02693808
0.004711453,0,0.01,101334.3911,0.03840944,,0.01884581
0.003037355,0,0.01,101375.396,0.2061188,,0.01214942
0.0017208,0,0.01,101428.3346,0.4226366,,0.006883198
0.000770217,0,0.01,101489.7925,0.673998,,0.003080868
0.000193898,0,0.01,101549.6292,0.918729,,0.000775592
0,0,0,101567.0594,0.9900182,,0
0.000193898,0,-0.01,101503.196,0.7288182,,0.000775592
0.000770217,0,-0.01,101390.7896,0.2690783,,0.003080868
0.0017208,0,-0.01,101304.139,-0.08532109,,0.006883198
0.003037355,0,-0.01,101255.7543,-0.2832134,,0.01214942
0.004711453,0,-0.01,101235.9649,-0.3641519,,0.01884581
0.00673452,0,-0.01,101230.0125,-0.3884971,,0.02693808
0.00909783,0,-0.01,101231.5904,-0.3820434,,0.03639132
0.011792503,0,-0.01,101236.7633,-0.3608864,,0.04717001
0.01480948,0,-0.01,101243.613,-0.3328711,,0.05923792
